tweet,location,request_type,urgency
Medical emergency reported in Bhopal. Need Medical.,Bhopal,Medical,Non-Urgent
Looking for volunteers in Bhubaneswar for Food & Supplies help.,Bhubaneswar,Food & Supplies,Non-Urgent
Looking for volunteers in Guwahati for Humanitarian help.,Guwahati,Humanitarian,Non-Urgent
"Supplies running low in Mysuru, need Humanitarian.",Mysuru,Humanitarian,Urgent
Requesting Humanitarian support in Bhubaneswar. Please help.,Bhubaneswar,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Hyderabad.,Hyderabad,Food & Supplies,Non-Urgent
"Supplies running low in Imphal, need Humanitarian.",Imphal,Humanitarian,Non-Urgent
Requesting Medical support in Goa. Please help.,Goa,Medical,Urgent
Looking for volunteers in Bengaluru for Humanitarian help.,Bengaluru,Humanitarian,Urgent
Urgent call for Medical aid in Mumbai.,Mumbai,Medical,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Humanitarian,Non-Urgent
Medical emergency reported in Gurugram. Need Medical.,Gurugram,Medical,Urgent
Urgent call for Medical aid in Hyderabad.,Hyderabad,Medical,Non-Urgent
"Family stranded in Warangal, require Food & Supplies.",Warangal,Food & Supplies,Urgent
Community in Noida asking for Food & Supplies assistance.,Noida,Food & Supplies,Urgent
Looking for volunteers in Jammu for Humanitarian help.,Jammu,Humanitarian,Non-Urgent
"Supplies running low in Indore, need Medical.",Indore,Medical,Non-Urgent
Requesting Humanitarian support in Noida. Please help.,Noida,Humanitarian,Non-Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Non-Urgent
Requesting Medical support in Goa. Please help.,Goa,Medical,Urgent
Senior citizens need Humanitarian assistance in Jaipur.,Jaipur,Humanitarian,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Food & Supplies,Non-Urgent
Children in Vadodara require urgent Humanitarian support.,Vadodara,Humanitarian,Urgent
"Supplies running low in Chennai, need Medical.",Chennai,Medical,Non-Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Urgent
Requesting Humanitarian support in Goa. Please help.,Goa,Humanitarian,Urgent
Children in Imphal require urgent Medical support.,Imphal,Medical,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Urgent
Urgent call for Humanitarian aid in Itanagar.,Itanagar,Humanitarian,Urgent
"Family stranded in Gurugram, require Humanitarian.",Gurugram,Humanitarian,Urgent
Requesting Humanitarian support in Surat. Please help.,Surat,Humanitarian,Non-Urgent
"Family stranded in Indore, require Food & Supplies.",Indore,Food & Supplies,Urgent
"Family stranded in Jaipur, require Food & Supplies.",Jaipur,Food & Supplies,Urgent
Community in Bhopal asking for Humanitarian assistance.,Bhopal,Humanitarian,Urgent
Community in Siliguri asking for Humanitarian assistance.,Siliguri,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Coimbatore.,Coimbatore,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Urgent
Requesting Medical support in Chennai. Please help.,Chennai,Medical,Urgent
"Family stranded in Thiruvananthapuram, require Medical.",Thiruvananthapuram,Medical,Non-Urgent
Requesting Medical support in Bhubaneswar. Please help.,Bhubaneswar,Medical,Non-Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Urgent
Senior citizens need Medical assistance in Lucknow.,Lucknow,Medical,Urgent
Requesting Humanitarian support in Mysuru. Please help.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Surat.,Surat,Medical,Urgent
Children in Mumbai require urgent Food & Supplies support.,Mumbai,Food & Supplies,Urgent
"Supplies running low in Jaipur, need Food & Supplies.",Jaipur,Food & Supplies,Urgent
Children in Mumbai require urgent Humanitarian support.,Mumbai,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Urgent
Urgent call for Medical aid in Kanpur.,Kanpur,Medical,Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Medical,Urgent
Looking for volunteers in Bhubaneswar for Medical help.,Bhubaneswar,Medical,Urgent
Looking for volunteers in Jammu for Medical help.,Jammu,Medical,Urgent
Looking for volunteers in Shillong for Food & Supplies help.,Shillong,Food & Supplies,Urgent
Requesting Humanitarian support in Srinagar. Please help.,Srinagar,Humanitarian,Urgent
Community in Bhubaneswar asking for Medical assistance.,Bhubaneswar,Medical,Urgent
Community in Kanpur asking for Food & Supplies assistance.,Kanpur,Food & Supplies,Urgent
Medical emergency reported in Bhopal. Need Humanitarian.,Bhopal,Humanitarian,Non-Urgent
Community in Hyderabad asking for Food & Supplies assistance.,Hyderabad,Food & Supplies,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
Requesting Humanitarian support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Humanitarian,Non-Urgent
Urgent call for Medical aid in Vadodara.,Vadodara,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Urgent
